,Date,Media Sources,Compound,Positive,Negative,Neutral,Tweet,Tweets Ago
28,Sat Jun 09 11:45:52 +0000 2018,@BBC,-0.2732,0.086,0.784,0.129,RT @SteveLawrence_: John Humphrys patronisingly admits that the @BBC has failed in its duty to inform the public on Brexit. Maybe @BBCr4tod…,29
29,Sat Jun 09 11:45:12 +0000 2018,@BBC,-0.6249,0.0,0.661,0.339,RT @KaptanHindustan: The Venezuelan economic crisis via @BBC https://t.co/49xVE3VgWF,30
30,Sat Jun 09 11:45:10 +0000 2018,@BBC,-0.1984,0.0,0.925,0.075,17.2 million people voted to leave the EU - supranational ... not some dodgey Brexit deal !! The TM  PM clock is ti… https://t.co/K70yREnXtL,31
31,Sat Jun 09 11:45:06 +0000 2018,@BBC,0.9306,0.422,0.578,0.0,RT @RAFRed5: Is there a more splendid view?Very proud to be British and to have a role to play today. A most excellent display by everyone…,32
32,Sat Jun 09 11:44:00 +0000 2018,@BBC,-0.7096,0.0,0.742,0.258,"This is the new way SARS (Special anti robbery squad) rob Nigerians. We need assistance
#EndSARS @AJStream @CNN… https://t.co/uoOGm2iivc",33
33,Sat Jun 09 11:43:09 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"RT @vivekkapoor111: @pankajbhatt54 @Thinkerks @narendramodi @rsprasad @FinMinIndia CC
@realDonaldTrump
@POTUS
@FLOTUS
@WhiteHouse
@narendra…",34
34,Sat Jun 09 11:42:29 +0000 2018,@BBC,0.8271,0.293,0.707,0.0,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,35
35,Sat Jun 09 11:42:24 +0000 2018,@BBC,0.2023,0.107,0.893,0.0,"@davidgbr8963t @Andrew_Adonis @BBCr4today The Today programme needs a clear-out from the top down, it's become a mo… https://t.co/m1GEE1xab0",36
36,Sat Jun 09 11:42:16 +0000 2018,@BBC,0.0,0.0,1.0,0.0,RT @PatleNutu: गीता आ7 मन्त्र12 में कहा है कि तीनों गुणों से जो भी कार्य किया जा रहा है वह सब मुझसे ही होने वाला जान।अर्थात मैं सब कार्य कर…,37
37,Sat Jun 09 11:42:11 +0000 2018,@BBC,-0.743,0.0,0.742,0.258,"RT @otivar55: Alan Johnson was dreadful. No wonder he skittled off.
No wonder @BBC still bring him on to slag off Labour.
Its #ChangeIsComi…",38
38,Sat Jun 09 11:41:47 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"#EndSARS
@BBC 
@CNN 
@AlJazeera",39
39,Sat Jun 09 11:41:20 +0000 2018,@BBC,0.8271,0.293,0.707,0.0,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,40
40,Sat Jun 09 11:40:59 +0000 2018,@BBC,0.8271,0.293,0.707,0.0,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,41
